"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06021","Glenn County, CA",".",".",".",".","0.08","0.066",".",".",".",".",".","38","18","."
"06023","Humboldt County, CA","1.3","0.8","26","3","0.05","0.046","1","1","0","28","10.7","51","19","."
"06025","Imperial County, CA","5.2","3.9","62","13","0.11","0.08","8","2","1","29","13.3","289","52","0.02"
"06027","Inyo County, CA",".",".",".",".","0.08","0.07",".",".",".","39","9.7","424","27","."
"06029","Kern County, CA","1.7","1.1","56","14","0.11","0.087",".",".",".","97","22.8","112","51","."
"06031","Kings County, CA",".",".","46","10","0.1","0.085",".",".",".","68","18.2","251","56","."
"06033","Lake County, CA",".",".",".",".","0.07","0.059",".",".",".","8","3.9","20","9","."
"06037","Los Angeles County, CA","5.6","3.4","71","23","0.13","0.094","12","4","1","30","12.6","91","33","0.1"
"06039","Madera County, CA",".",".","39","8","0.1","0.085",".",".",".","55","17.8","108","37","."
"06041","Marin County, CA","2.1","0.9","47","12","0.07","0.057",".",".",".","27","10.8","32","15","."
"06043","Mariposa County, CA",".",".",".",".","0.08","0.077",".",".",".",".",".","61","23","."
"06045","Mendocino County, CA",".",".",".",".","0.06","0.046",".",".",".","23","9.3","45","14","."
"06047","Merced County, CA",".",".","40","8","0.1","0.083",".",".",".","67","13.5","69","36","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".",".",".","1870","33","."
"06053","Monterey County, CA","1.7","0.8","36","5","0.07","0.059",".",".",".","16","6.7","75","27","."
"06055","Napa County, CA","2.8","1.5","40","9","0.08","0.055",".",".",".","28","11.7","36","18","."
"06057","Nevada County, CA",".",".",".",".","0.09","0.078",".",".",".","32","8.6",".",".","."
"06059","Orange County, CA","4.1","2.4","59","17","0.1","0.074","3","1","0","23","10.1","82","28","."
"06061","Placer County, CA",".",".","50","10","0.1","0.075",".",".",".","30","7.5","36","18","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","47","15.3",".",".","."
"06065","Riverside County, CA","2.5","1.6","55","17","0.12","0.1","5","1","0","42","14.1","484","63","0.01"
"06067","Sacramento County, CA","2.8","2.4","53","13","0.11","0.079","3","2","1","49","12.6","68","26","0"
"06069","San Benito County, CA",".",".",".",".","0.08","0.071",".",".",".","15","5.9","50","20","."
"06071","San Bernardino County, CA","3.3","1.6","61","21","0.15","0.104","11","10","1","35","12.3","155","41","0.01"
"06073","San Diego County, CA","24.1","6.7","75","19","0.09","0.078","1","1","0","25","11.7","214","127","0.12"
"06075","San Francisco County, CA","1.8","1.3","60","14","0.06","0.043",".",".",".","28","10.1","40","17","."
"06077","San Joaquin County, CA","2.5","1.7","57","16","0.09","0.073",".",".",".","56","17.9","122","32","."
"06079","San Luis Obispo County, CA",".",".","37","7","0.08","0.074","53","10","1","31","12.5","158","40","."
"06081","San Mateo County, CA","3.3","1.6","47","13","0.07","0.056",".",".",".","29","10.7",".",".","0.22"
"06083","Santa Barbara County, CA","2.4","1","40","10","0.08","0.065","38","13","1","16","8.9","68","26","."
"06085","Santa Clara County, CA","2.7","2.1","52","15","0.09","0.067","10","2","0","35","12.4","53","21","0.12"
"06087","Santa Cruz County, CA",".",".",".",".","0.07","0.064",".",".",".","51","10.1",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.08","0.068",".",".",".","35","5.9","39","20","."
"06093","Siskiyou County, CA",".",".",".",".","0.08","0.063",".",".",".","40","7.9","52","13","."
"06095","Solano County, CA","2.6","2","43","10","0.08","0.064","4","2","1","37","11.3","30","13","."
"06097","Sonoma County, CA","1.7","1.2","37","9","0.07","0.055",".",".",".","23","8.5","30","13","."
"06099","Stanislaus County, CA","2.6","2.1","46","11","0.09","0.08",".",".",".","61","15","88","62","."
"06101","Sutter County, CA",".",".","52","10","0.08","0.071",".",".",".","25","8.2","48","24","."
"06103","Tehama County, CA",".",".",".",".","0.09","0.072",".",".",".",".",".","43","21","."
"06105","Trinity County, CA",".",".",".",".",".",".",".",".",".","45","15.3","45","18","."
"06107","Tulare County, CA",".",".","53","13","0.12","0.09",".",".",".","63","18.9","122","44","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.07",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","37","9","0.1","0.077",".",".",".","25","9.4","143","27","."
"06113","Yolo County, CA",".",".","34","7","0.08","0.065",".",".",".","22","7.5","59","23","."
"08001","Adams County, CO","2.4","2.1","58","17","0.1","0.077","30","5","1","27","8.7","97","29","."
"08003","Alamosa County, CO",".",".",".",".",".",".",".",".",".",".",".","229","25","."
"08005","Arapahoe County, CO",".",".",".",".","0.1","0.079",".",".",".","22","6.8",".",".","0.02"
"08007","Archuleta County, CO",".",".",".",".",".",".",".",".",".",".",".","241","23","."
"08013","Boulder County, CO",".",".",".",".","0.09","0.079",".",".",".","23","7.1","51","23","."
"08015","Chaffee County, CO",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"08019","Clear Creek County, CO",".",".",".",".","0.1","0.085",".",".",".",".",".",".",".","."
"08029","Delta County, CO",".",".",".",".",".",".",".",".",".",".",".","44","21","."
"08031","Denver County, CO","5.7","2.5","68","25","0.09","0.071","38","11","2","29","8.8","76","34","0"
"08035","Douglas County, CO",".",".",".",".","0.1","0.083",".",".",".","17","5.6",".",".","."
"08041","El Paso County, CO","3.3","1.8",".",".","0.09","0.074","58","14","3","18","6","52","20","."
"08043","Fremont County, CO",".",".",".",".",".",".",".",".",".",".",".","66","20","."
"08045","Garfield County, CO",".",".","38","6","0.08","0.069",".",".",".","9","3.9","34","18","."
"08051","Gunnison County, CO",".",".",".",".","0.07","0.064",".",".",".",".",".","61","21","."
"08057","Jackson County, CO","0.4","0.3","6","1","0.07","0.064","1","0","0",".",".",".",".","."
"08059","Jefferson County, CO",".",".",".",".","0.11","0.085",".",".",".",".",".",".",".","."
"08067","La Plata County, CO","1.7","1","35","6","0.08","0.072",".",".",".","29","4.5","38","20","."
"08069","Larimer County, CO","2.5","1.4",".",".","0.1","0.082",".",".",".","18","6.8","55","21","."
"08077","Mesa County, CO","1.4","0.9",".",".","0.07","0.066",".",".",".","40","8.8","56","19","."
"08081","Moffat County, CO",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"08083","Montezuma County, CO",".",".",".",".","0.08","0.069",".",".",".","12","6.1",".",".","."
"08093","Park County, CO",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"08097","Pitkin County, CO",".",".",".",".","0.07","0.064",".",".",".",".",".","35","14","."
"08099","Prowers County, CO",".",".",".",".",".",".",".",".",".",".",".","406","32","."
"08101","Pueblo County, CO",".",".",".",".",".",".",".",".",".","17","6.5","62","20","."
"08103","Rio Blanco County, CO",".",".","24","3","0.11","0.091",".",".",".","16","8.9",".",".","."
"08107","Routt County, CO",".",".",".",".",".",".",".",".",".",".",".","77","20","."
"08113","San Miguel County, CO",".",".",".",".","0.07","0.069",".",".",".",".",".","58","17","."
"08123","Weld County, CO","3","1.7",".",".","0.09","0.073",".",".",".","21","7.2","47","20","."
